pitch,roll,elbow_p,elbow_yaw,hand_x,hand_z,x_osc,z_osc,qacc_max,stable,z_ok,x_ok,candidate
-3.0,1.5,-1.0,1.0,0.0298,1.1707,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,-1.0,1.5,0.007,1.1014,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,-1.0,2.0,0.0038,1.0292,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,-0.5,0.0,0.1087,1.237,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,-0.5,0.5,0.0428,1.2254,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,-0.5,1.0,-0.0121,1.1802,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,-0.5,1.5,-0.0426,1.1126,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,-0.5,2.0,-0.0412,1.0393,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,0.0,0.0,0.1087,1.237,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,0.0,0.5,0.0344,1.2292,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,0.0,1.0,-0.0269,1.1868,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,0.0,1.5,-0.0601,1.1204,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,0.0,2.0,-0.0571,1.0464,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,0.5,0.0,0.1087,1.237,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,0.5,0.5,0.0435,1.2304,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,0.5,1.0,-0.0109,1.1889,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,0.5,1.5,-0.0412,1.1228,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,0.5,2.0,-0.0399,1.0486,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,1.0,0.0,0.1087,1.237,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,1.0,0.5,0.068,1.2287,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,1.0,1.0,0.032,1.1859,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,1.0,1.5,-0.0058,1.1262,4e-05,2e-05,0.81,True,False,False,False
-3.0,1.5,1.0,2.0,-0.009,1.0401,7e-05,0.00011,0.81,True,False,False,False
-3.0,1.5,1.5,0.0,0.1087,1.237,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,1.5,0.5,0.1017,1.2246,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,1.5,1.0,0.0911,1.1791,1e-05,0.0,0.81,True,False,False,False
-3.0,1.5,1.5,1.5,0.0943,1.1657,4e-05,0.00013,0.81,True,False,False,False
-3.0,1.5,1.5,2.0,0.0658,0.9975,4e-05,3e-05,0.93,True,False,False,False
-3.0,1.5,2.0,0.0,0.1087,1.237,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,2.0,0.5,0.1366,1.219,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,2.0,1.0,0.1522,1.169,1e-05,0.0,0.81,True,False,False,False
-3.0,1.5,2.0,1.5,0.1688,1.1015,4e-05,2e-05,0.81,True,False,False,False
-3.0,1.5,2.0,2.0,0.1489,1.0189,8e-05,9e-05,0.81,True,False,False,False
-2.5,-0.5,-1.0,0.0,-0.047,0.7435,1e-05,1e-05,0.81,True,True,False,False
-2.5,-0.5,-1.0,0.5,-0.1039,0.7313,1e-05,1e-05,0.81,True,True,False,False
-2.5,-0.5,-1.0,1.0,-0.1363,0.7365,1e-05,1e-05,0.81,True,True,False,False
-2.5,-0.5,-1.0,1.5,-0.1362,0.7578,0.0,1e-05,0.81,True,True,False,False
-2.5,-0.5,-1.0,2.0,-0.1036,0.7902,0.0,0.0,0.81,True,True,False,False
-2.5,-0.5,-0.5,0.0,-0.0469,0.7435,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,-0.5,0.5,-0.1099,0.7639,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,-0.5,1.0,-0.1469,0.7937,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,-0.5,1.5,-0.1488,0.8257,0.0,1e-05,0.81,True,True,False,False
-2.5,-0.5,-0.5,2.0,-0.115,0.8522,0.0,0.0,0.81,True,False,False,False
-2.5,-0.5,0.0,0.0,-0.0469,0.7434,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,0.0,0.5,-0.0991,0.7932,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,0.0,1.0,-0.1281,0.8453,1e-05,3e-05,0.81,True,True,False,False
-2.5,-0.5,0.0,1.5,-0.1265,0.8871,1e-05,1e-05,0.81,True,False,False,False
-2.5,-0.5,0.0,2.0,-0.0946,0.9082,0.0,0.0,0.81,True,False,False,False
-2.5,-0.5,0.5,0.0,-0.0469,0.7434,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,0.5,0.5,-0.0743,0.812,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,0.5,1.0,-0.0844,0.8787,2e-05,3e-05,0.81,True,False,False,False
-2.5,-0.5,0.5,1.5,-0.0746,0.9267,1e-05,2e-05,0.81,True,False,False,False
-2.5,-0.5,0.5,2.0,-0.0472,0.9443,0.0,0.0,0.81,True,False,False,False
-2.5,-0.5,1.0,0.0,-0.0469,0.7434,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,1.0,0.5,-0.0414,0.8159,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,1.0,1.0,-0.0265,0.8854,2e-05,2e-05,0.81,True,False,False,False
-2.5,-0.5,1.0,1.5,-0.0058,0.9347,2e-05,2e-05,0.81,True,False,False,False
-2.5,-0.5,1.0,2.0,0.0156,0.9516,1e-05,1e-05,0.81,True,False,False,False
-2.5,-0.5,1.5,0.0,-0.0469,0.7434,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,1.5,0.5,-0.0086,0.8037,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,1.5,1.0,0.0313,0.8639,2e-05,2e-05,0.81,True,False,False,False
-2.5,-0.5,1.5,1.5,0.0629,0.9091,1e-05,2e-05,0.81,True,False,False,False
-2.5,-0.5,1.5,2.0,0.0782,0.9282,1e-05,1e-05,0.81,True,False,False,False
-2.5,-0.5,2.0,0.0,-0.0469,0.7435,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,2.0,0.5,0.0162,0.7785,1e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,2.0,1.0,0.0748,0.8194,2e-05,2e-05,0.81,True,True,False,False
-2.5,-0.5,2.0,1.5,0.1145,0.8562,1e-05,2e-05,0.81,True,False,False,False
-2.5,-0.5,2.0,2.0,0.1252,0.88,0.0,1e-05,0.81,True,False,False,False
-2.5,0.0,-1.0,0.0,0.0544,0.8803,1e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,-1.0,0.5,-0.0127,0.8553,1e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,-1.0,1.0,-0.0629,0.8366,2e-05,2e-05,0.81,True,True,False,False
